	Unnamed: 0	file	rep	sample	patient 	time	exp	gene	num	blast_hit	Kingdom	Phylum	Class	Order	Family	Genus	sum_size	blast_summary	otu	sample_size	read%	taxa	cut_off	detections
0	1043	101-TransP-B335-1_Tn-Reso-A	A	B335-1	B335	1	transposon	Reso	0	0	0	0	0	0	0	0	0	0	0	0	0.0	"	Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae Bacteroides"	1	3.0
1	1043	101-TransP-B335-1_Tn-Reso-A	A	B335-1	B335	1	transposon	Reso	101	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Agathobacter(100)	2023	100.0;98;0;0;1;98;98;1;3.23e-54	otu6	65975	3.066312997	Firmicutes Clostridia Clostridiales Lachnospiraceae Agathobacter	1	3.0
2	1044	109-TransP-B335-1_Tn-Reso-B	B	B335-1	B335	1	transposon	Reso	109	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Agathobacter(100)	160	100.0;98;0;0;1;98;98;1;3.23e-54	otu6	70097	0.228255132	Firmicutes Clostridia Clostridiales Lachnospiraceae Agathobacter	1	3.0
3	1045	117-TransP-B335-1_Tn-Reso-C	C	B335-1	B335	1	transposon	Reso	117	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Lachnospiraceae(100)	Agathobacter(100)	629	100.0;98;0;0;1;98;98;1;3.23e-54	otu6	65272	0.963659762	Firmicutes Clostridia Clostridiales Lachnospiraceae Agathobacter	1	3.0
4	1127	102-TransP-B335-2_Tn-Reso-A	A	B335-2	B335	2	transposon	Reso	102	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Romboutsia(100)	700	100.0;98;0;0;1;98;98;1;3.23e-54	otu3	54490	1.284639383	Firmicutes Clostridia Clostridiales Peptostreptococcaceae Romboutsia	1	3.0
5	1128	110-TransP-B335-2_Tn-Reso-B	B	B335-2	B335	2	transposon	Reso	110	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Romboutsia(100)	4625	100.0;98;0;0;1;98;98;1;3.23e-54	otu3	63408	7.2940322989999995	Firmicutes Clostridia Clostridiales Peptostreptococcaceae Romboutsia	1	3.0
6	1129	118-TransP-B335-2_Tn-Reso-C	C	B335-2	B335	2	transposon	Reso	118	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Romboutsia(100)	25685	100.0;98;0;0;1;98;98;1;3.23e-54	otu3	66925	38.37878222	Firmicutes Clostridia Clostridiales Peptostreptococcaceae Romboutsia	1	3.0
7	1171	103-TransP-B335-3_Tn-Reso-A	A	B335-3	B335	3	transposon	Reso	103	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Romboutsia(100)	131	100.0;98;0;0;1;98;98;1;3.23e-54	otu3	6659	1.9672623519999999	Firmicutes Clostridia Clostridiales Peptostreptococcaceae Romboutsia	1	3.0
8	1172	111-TransP-B335-3_Tn-Reso-B	B	B335-3	B335	3	transposon	Reso	111	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Romboutsia(100)	7995	100.0;98;0;0;1;98;98;1;3.23e-54	otu3	71888	11.12146673	Firmicutes Clostridia Clostridiales Peptostreptococcaceae Romboutsia	1	3.0
9	1173	119-TransP-B335-3_Tn-Reso-C	C	B335-3	B335	3	transposon	Reso	119	Tn3_Resolvase	Bacteria(100)	Firmicutes(100)	Clostridia(100)	Clostridiales(100)	Peptostreptococcaceae(100)	Romboutsia(100)	4785	100.0;98;0;0;1;98;98;1;3.23e-54	otu3	64421	7.427702147000001	Firmicutes Clostridia Clostridiales Peptostreptococcaceae Romboutsia	1	3.0
