	num	Unnamed: 0	blast_hit	blast_summary	file	otu	Kingdom	Phylum	Class	Order	Family	Genus	sum_size	fiull_tax	Donor	percent 	Unnamed: 16	total	per	cut_off	detections
0	78	0	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu2	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia-Shigella(98)	53163	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Escherichia-Shigella(98)	H02	0.1	1p	53765	98.88031247093835	1	3
1	86	0	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu2	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia-Shigella(98)	56657	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Escherichia-Shigella(98)	H02	0.1	1p	57174	99.09574282016301	1	3
2	86	3609	TEM_162_C1	100.0;10;0;0;50;59;12;3;0.08199999999999999	086-spike-H02-0-1p	otu2	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia-Shigella(98)	1	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Escherichia-Shigella(98)	H02	0.1	1p	57174	0.0017490467695106167	0	3
3	94	0	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	094-spike-H02-0-1p	otu2	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Escherichia-Shigella(98)	62367	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Escherichia-Shigella(98)	H02	0.1	1p	62857	99.2204527737563	1	3
4	78	772	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu49	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Pseudocitrobacter(52)	382	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Pseudocitrobacter(52)	H02	0.1	1p	53765	0.7104993955175299	1	1
5	86	820	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu49	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Pseudocitrobacter(52)	285	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Pseudocitrobacter(52)	H02	0.1	1p	57174	0.49847832931052577	0	1
6	94	883	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	094-spike-H02-0-1p	otu49	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	Pseudocitrobacter(52)	309	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_Pseudocitrobacter(52)	H02	0.1	1p	62857	0.4915920263455144	0	1
7	78	2167	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu214	Bacteria(99)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(98)	Enterobacteriaceae(98)	Pseudocitrobacter(54)	62	Bacteria(99)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(98)_Enterobacteriaceae(98)_Pseudocitrobacter(54)	H02	0.1	1p	53765	0.1153166558169813	0	0
8	78	1965	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu307	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(99)	Enterobacteriaceae(99)	Pseudocitrobacter(37)	59	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(99)_Enterobacteriaceae(99)_Pseudocitrobacter(37)	H02	0.1	1p	53765	0.10973681763228867	0	0
9	86	1927	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu307	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(99)	Enterobacteriaceae(99)	Pseudocitrobacter(37)	35	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(99)_Enterobacteriaceae(99)_Pseudocitrobacter(37)	H02	0.1	1p	57174	0.06121663693287158	0	0
10	94	1965	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	094-spike-H02-0-1p	otu307	Bacteria(100)	Proteobacteria(99)	Gammaproteobacteria(99)	Enterobacteriales(99)	Enterobacteriaceae(99)	Pseudocitrobacter(37)	48	Bacteria(100)_Proteobacteria(99)_Gammaproteobacteria(99)_Enterobacteriales(99)_Enterobacteriaceae(99)_Pseudocitrobacter(37)	H02	0.1	1p	62857	0.07636380991774981	0	0
11	78	1895	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu268	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	ATCC-39006(30)	43	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_ATCC-39006(30)	H02	0.1	1p	53765	0.07997768064726123	0	0
12	86	1724	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	086-spike-H02-0-1p	otu268	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	ATCC-39006(30)	16	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_ATCC-39006(30)	H02	0.1	1p	57174	0.027984748312169867	0	0
13	94	2228	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	094-spike-H02-0-1p	otu268	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(100)	Enterobacteriaceae(100)	ATCC-39006(30)	19	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(100)_Enterobacteriaceae(100)_ATCC-39006(30)	H02	0.1	1p	62857	0.030227341425775968	0	0
14	78	2044	CmR	100.0;73;0;0;5;77;1;73;2.08e-39	078-spike-H02-0-1p	otu213	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Enterobacteriales(94)	Enterobacteriaceae(94)	Pseudocitrobacter(54)	25	Bacteria(100)_Proteobacteria(100)_Gammaproteobacteria(100)_Enterobacteriales(94)_Enterobacteriaceae(94)_Pseudocitrobacter(54)	H02	0.1	1p	53765	0.046498651539105366	0	0
